model,group,splits,total,best_val_exact,success_rate,feasibility,optimality,exact_match
t5-small,id_unseen_placement,test_unseen_placement,2004,0.7534930139720559,0.782435129740519,0.7914171656686627,0.782435129740519,0.7440119760479041
t5-base,id_unseen_placement,test_unseen_placement,2004,0.9715568862275449,0.9745508982035929,0.9755489021956087,0.9725548902195609,0.9670658682634731
flan-t5-base,id_unseen_placement,test_unseen_placement,2004,0.9760479041916168,0.9785429141716567,0.9790419161676647,0.9760479041916168,0.9710578842315369
flan-t5-base,ood_size_10x10,ood_size_10x10,3750,0.9760479041916168,0.1768,0.908,0.17413333333333333,0.1664
